Year,GDP_USD,GDP_Growth,Imports_Pct_GDP,Exports_Pct_GDP,Inflation,USDINR
1973-01-01,85515269585.4,3.3,4.72,4.21,16.94,7.6541
1974-01-01,99525899116.05,1.19,6.02,4.83,28.6,8.0289
1975-01-01,98472796456.88,9.15,6.65,5.65,5.75,8.4086
1976-01-01,102717164466.4,1.66,6.11,6.69,-7.63,8.9715
1977-01-01,121487322475.91,7.25,6.26,6.38,8.31,8.7683
1978-01-01,137300295313.3,5.71,6.59,6.31,2.52,8.1979
1979-01-01,152991653793.77,-5.24,8.17,6.75,6.28,8.1564
1980-01-01,186325345086.66,6.74,9.25,6.14,11.35,7.8868
1981-01-01,193490610029.79,6.01,8.57,5.94,13.11,8.6807
1982-01-01,200715145363.15,3.48,8.14,5.98,7.89,9.4847
1983-01-01,218262273406.97,7.29,7.85,5.84,11.87,10.1041
1984-01-01,212158234167.31,3.82,7.73,6.28,8.32,11.3465
1985-01-01,232511877841.7,5.25,7.65,5.25,5.56,12.3318
1986-01-01,248985994040.59,4.78,7.02,5.2,8.73,12.5967
1987-01-01,279033584092.22,3.97,6.98,5.6,8.8,12.9469
1988-01-01,296588994812.35,9.63,7.46,6.04,9.38,13.8995
1989-01-01,296042354984.88,5.95,8.15,7.02,7.07,16.2131
1990-01-01,320979026420.04,5.53,8.45,7.05,8.97,17.4922
1991-01-01,270105341879.23,1.06,8.49,8.49,13.87,22.7116
1992-01-01,288208430383.96,5.48,9.59,8.84,11.79,28.1558
1993-01-01,279296022987.92,4.75,9.82,9.83,6.33,31.2911
1994-01-01,327275583539.56,6.66,10.19,9.89,10.25,31.3939
1995-01-01,360281952716.8,7.57,12.02,10.84,10.22,32.4181
1996-01-01,392897054348.07,7.55,11.54,10.39,8.98,35.506
1997-01-01,415867753863.87,4.05,11.93,10.69,7.16,36.3645
1998-01-01,421351477504.74,6.18,12.68,11.02,13.23,41.3561
1999-01-01,458820417337.81,8.85,13.36,11.45,4.67,43.1274
2000-01-01,468394937262.37,3.84,13.9,13.0,4.01,44.9975
2001-01-01,485441014538.64,4.82,13.43,12.56,3.78,47.22
2002-01-01,514937948870.08,3.8,15.24,14.26,4.3,48.6257
2003-01-01,607699285433.87,7.86,15.64,14.95,3.81,46.5908
2004-01-01,709148514804.66,7.92,19.64,17.86,3.77,45.261
2005-01-01,820381595512.9,7.92,22.4,19.61,4.25,44.0002
2006-01-01,940259888792.14,8.06,24.46,21.27,5.8,45.1861
2007-01-01,1216735441524.86,7.66,24.89,20.8,6.37,41.1774
2008-01-01,1198895582137.51,3.09,29.27,24.1,8.35,43.3859
2009-01-01,1341886602798.69,7.86,25.87,20.4,10.88,48.3324
2010-01-01,1675615335600.56,8.5,26.85,22.4,11.99,45.6507
2011-01-01,1823049927771.46,5.24,31.08,24.54,8.91,46.5782
2012-01-01,1827637859135.7,5.46,31.26,24.53,9.48,53.3743
2013-01-01,1856722121394.53,6.39,28.41,25.43,10.02,58.5149
2014-01-01,2039127446298.55,7.41,25.95,22.97,6.67,60.9953
2015-01-01,2103587813812.75,8.0,22.11,19.81,4.91,64.1073
2016-01-01,2294797980509.01,8.26,20.92,19.16,4.95,67.1572
2017-01-01,2651472946374.91,6.8,21.95,18.79,3.33,65.0659
2018-01-01,2702929718960.46,6.53,23.69,19.93,3.94,68.3734
2019-01-01,2831552222519.99,4.04,21.27,18.69,3.73,70.3777
2020-01-01,2667687951796.56,-7.25,19.1,18.71,6.62,74.1429
